"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","trend","detrended_m","seasonal_m","residual_m","deseasonalised","raw_comp","deseas_comp"
"38","ahmednagar","bajri",2014,"September",24,1400,1750,1575,"2014-09","Ahmadnagar","Maharashtra",1388.91666666667,1.13397732045359,0.975138040030273,1.16288902073637,1615.15594238443,"above msp","above msp"
"39","akole","bajri",2014,"September",25,1467,1733,1650,"2014-09","Ahmadnagar","Maharashtra",1408.41666666667,1.17152831193421,0.975138040030273,1.20139740615373,1692.06813011702,"above msp","above msp"
"40","jamkhed","bajri",2014,"September",410,1302,1498,1400,"2014-09","Ahmadnagar","Maharashtra",1411.5,0.991852639036486,0.975138040030273,1.01714075168854,1435.69417100838,"above msp","above msp"
"41","kopargaon","bajri",2014,"September",466,1220,1472,1383,"2014-09","Ahmadnagar","Maharashtra",1415.91666666667,0.976752398328527,0.975138040030273,1.00165551771337,1418.26074178899,"above msp","above msp"
"42","newasa","bajri",2014,"September",37,1298,1325,1310,"2014-09","Ahmadnagar","Maharashtra",1406,0.93172119487909,0.975138040030273,0.955476206066337,1343.39954572927,"above msp","above msp"
"43","pathardi","bajri",2014,"September",443,1254,1429,1319,"2014-09","Ahmadnagar","Maharashtra",1399.66666666667,0.942367230292927,0.975138040030273,0.966393671057762,1352.62900825718,"above msp","above msp"
"44","rahata","bajri",2014,"September",46,1385,1421,1397,"2014-09","Ahmadnagar","Maharashtra",1402.16666666667,0.996315226435279,0.975138040030273,1.02171711648573,1432.61768349908,"above msp","above msp"
"45","rahuri","bajri",2014,"September",75,1351,1385,1369,"2014-09","Ahmadnagar","Maharashtra",1391.83333333333,0.983594779068375,0.975138040030273,1.00867235067339,1403.90380007891,"above msp","above msp"
"46","rahuri-vambori","bajri",2014,"September",434,1262,1611,1482,"2014-09","Ahmadnagar","Maharashtra",1397.58333333333,1.06040188420488,0.975138040030273,1.08743771719946,1519.78482959601,"above msp","above msp"
"47","sangamner","bajri",2014,"September",200,1350,1613,1469,"2014-09","Ahmadnagar","Maharashtra",1414.08333333333,1.03883552360186,0.975138040030273,1.06532150419402,1506.45338372236,"above msp","above msp"
"48","shevgaon","bajri",2014,"September",918,1068,1268,1217,"2014-09","Ahmadnagar","Maharashtra",1412.41666666667,0.861643754793793,0.975138040030273,0.883612083030873,1248.02843294086,"below msp","below msp"
"49","shevgaon-bodhegaon","bajri",2014,"September",609,1188,1280,1216,"2014-09","Ahmadnagar","Maharashtra",1398.91666666667,0.869244057901948,0.975138040030273,0.891406162223927,1247.00293710442,"below msp","below msp"
"50","shrirampur","bajri",2014,"September",298,1340,1520,1447,"2014-09","Ahmadnagar","Maharashtra",1388.25,1.0423194669548,0.975138040030273,1.06889427359683,1483.8924753208,"above msp","above msp"
"51","achalpur","bajri",2014,"October",1,1725,1725,1725,"2014-10","Amaravathi","Maharashtra",1394.5,1.23700250986016,0.998840875113005,1.23843801418341,1727.00181077876,"above msp","above msp"
"52","aurangabad","bajri",2014,"December",868,1307,1516,1411,"2014-12","Aurangabad","Maharashtra",1395.41666666667,1.01116751269036,1.05271122164743,0.96053646232434,1340.34858846842,"above msp","above msp"
"53","gangapur","bajri",2014,"December",310,1198,1426,1320,"2014-12","Aurangabad","Maharashtra",1390.16666666667,0.949526435679175,1.05271122164743,0.901981869437304,1253.90512882942,"above msp","above msp"
"54","kannad","bajri",2014,"December",181,1250,1364,1302,"2014-12","Aurangabad","Maharashtra",1389.5,0.937027707808564,1.05271122164743,0.890108976270029,1236.80642252721,"above msp","below msp"
"55","paithan","bajri",2014,"December",218,1340,1474,1420,"2014-12","Aurangabad","Maharashtra",1397.91666666667,1.01579731743666,1.05271122164743,0.964934444079547,1348.89794161953,"above msp","above msp"
"56","vaijapur","bajri",2014,"December",35,1167,1367,1283,"2014-12","Aurangabad","Maharashtra",1388.41666666667,0.924074185222976,1.05271122164743,0.877804060810577,1218.75778809709,"above msp","below msp"
"57","aurangabad","bajri",2014,"November",2116,1268,1537,1382,"2014-11","Aurangabad","Maharashtra",1389.5,0.99460237495502,1.02962791120542,0.965982336075762,1342.23245597727,"above msp","above msp"
"58","gangapur","bajri",2014,"November",657,1316,1543,1438,"2014-11","Aurangabad","Maharashtra",1385.83333333333,1.03764281419122,1.02962791120542,1.0077842712873,1396.62103595898,"above msp","above msp"
"59","kannad","bajri",2014,"November",356,1250,1385,1312,"2014-11","Aurangabad","Maharashtra",1372.75,0.95574576579858,1.02962791120542,0.928243839737848,1274.24673100013,"above msp","above msp"
"60","lasur station","bajri",2014,"November",884,1122,1582,1479,"2014-11","Aurangabad","Maharashtra",1394.58333333333,1.06053181953989,1.02962791120542,1.03001463732494,1436.44124630274,"above msp","above msp"
"61","paithan","bajri",2014,"November",517,1367,1524,1468,"2014-11","Aurangabad","Maharashtra",1415.58333333333,1.03702831577088,1.02962791120542,1.00718745527867,1425.7577752349,"above msp","above msp"
"62","sillod","bajri",2014,"November",58,1320,1420,1370,"2014-11","Aurangabad","Maharashtra",1409.16666666667,0.972205795387345,1.02962791120542,0.944230226091239,1330.5777602669,"above msp","above msp"
"63","sillod-bharadi","bajri",2014,"November",39,1100,1317,1183,"2014-11","Aurangabad","Maharashtra",1364,0.867302052785924,1.02962791120542,0.842345126183053,1148.95875211369,"below msp","below msp"
"64","vaijapur","bajri",2014,"November",481,1128,1475,1378,"2014-11","Aurangabad","Maharashtra",1361.25,1.01230486685032,1.02962791120542,0.983175432438677,1338.34755740715,"above msp","above msp"
"65","gangapur","bajri",2014,"October",477,1245,1440,1335,"2014-10","Aurangabad","Maharashtra",1362.5,0.979816513761468,0.998840875113005,0.980953561447528,1336.54922747226,"above msp","above msp"
"66","kannad","bajri",2014,"October",208,1250,1367,1306,"2014-10","Aurangabad","Maharashtra",1362.83333333333,0.958297664180017,0.998840875113005,0.959409739886344,1307.51557384177,"above msp","above msp"
"67","lasur station","bajri",2014,"October",2051,1126,1600,1429,"2014-10","Aurangabad","Maharashtra",1363.58333333333,1.0479740878812,0.998840875113005,1.04919023038843,1430.65831165382,"above msp","above msp"
"68","vaijapur","bajri",2014,"October",690,1117,1485,1338,"2014-10","Aurangabad","Maharashtra",1368.16666666667,0.977951029358022,0.998840875113005,0.979085912205365,1339.55270888231,"above msp","above msp"
"69","gangapur","bajri",2014,"September",491,1285,1419,1342,"2014-09","Aurangabad","Maharashtra",1364.83333333333,0.983270240566614,0.975138040030273,1.00833953779107,1376.21541249518,"above msp","above msp"
"70","kannad","bajri",2014,"September",771,1245,1395,1307,"2014-09","Aurangabad","Maharashtra",1353.91666666667,0.965347448759771,0.975138040030273,0.989959789415867,1340.32305821997,"above msp","above msp"
"71","lasur station","bajri",2014,"September",5329,1161,1474,1338,"2014-09","Aurangabad","Maharashtra",1356.08333333333,0.986665027960425,0.975138040030273,1.011820878129,1372.11342914944,"above msp","above msp"
"72","vaijapur","bajri",2014,"September",385,1275,1532,1431,"2014-09","Aurangabad","Maharashtra",1352.08333333333,1.05836671802773,0.975138040030273,1.08535066275835,1467.48454193785,"above msp","above msp"
"73","ambejogai","bajri",2014,"December",17,1496,1496,1496,"2014-12","Beed","Maharashtra",1354.41666666667,1.10453454746816,1.05271122164743,1.04922843487849,1421.09247934001,"above msp","above msp"
"74","beed","bajri",2014,"December",2291,1375,1632,1520,"2014-12","Beed","Maharashtra",1366.91666666667,1.11199170883375,1.05271122164743,1.05631220221397,1443.89075440964,"above msp","above msp"
"75","gevrai","bajri",2014,"December",1159,1268,1442,1355,"2014-12","Beed","Maharashtra",1381.25,0.980995475113122,1.05271122164743,0.931875195153638,1287.15261330596,"above msp","above msp"
"76","kada","bajri",2014,"December",802,1250,1590,1428,"2014-12","Beed","Maharashtra",1385.41666666667,1.03073684210526,1.05271122164743,0.979125918779723,1356.49736664274,"above msp","above msp"
"77","kej","bajri",2014,"December",28,1592,1871,1700,"2014-12","Beed","Maharashtra",1415.83333333333,1.20070629782225,1.05271122164743,1.14058468564932,1614.87781743184,"above msp","above msp"
"78","majalgaon","bajri",2014,"December",276,1187,1676,1414,"2014-12","Beed","Maharashtra",1424.83333333333,0.992396771552228,1.05271122164743,0.942705607335684,1343.19837285213,"above msp","above msp"
"79","parli-vaijnath","bajri",2014,"December",34,1696,1746,1704,"2014-12","Beed","Maharashtra",1447.75,1.17699879122777,1.05271122164743,1.11806425829283,1618.67752994344,"above msp","above msp"
"80","ambejogai","bajri",2014,"November",37,1538,1616,1575,"2014-11","Beed","Maharashtra",1467.5,1.0732538330494,1.02962791120542,1.04237057034799,1529.67881198568,"above msp","above msp"
"81","beed","bajri",2014,"November",6310,1330,1644,1557,"2014-11","Beed","Maharashtra",1485.41666666667,1.04819074333801,1.02962791120542,1.01802868000233,1512.19676842012,"above msp","above msp"
"82","gevrai","bajri",2014,"November",3198,1290,1482,1370,"2014-11","Beed","Maharashtra",1490.66666666667,0.919051878354204,1.02962791120542,0.892605832021627,1330.5777602669,"above msp","above msp"
"83","kada","bajri",2014,"November",1662,1251,1695,1554,"2014-11","Beed","Maharashtra",1508.66666666667,1.03004860804242,1.02962791120542,1.00040859113513,1509.28309449253,"above msp","above msp"
"84","kille dharur","bajri",2014,"November",727,1389,2268,1746,"2014-11","Beed","Maharashtra",1534.91666666667,1.13752103805853,1.02962791120542,1.10478846355942,1695.75822585841,"above msp","above msp"
"85","majalgaon","bajri",2014,"November",860,1173,1707,1480,"2014-11","Beed","Maharashtra",1533.58333333333,0.965060044557953,1.02962791120542,0.93729009679635,1437.41247094527,"above msp","above msp"
"86","parli-vaijnath","bajri",2014,"November",81,1557,1612,1562,"2014-11","Beed","Maharashtra",1537.08333333333,1.01621035510979,1.02962791120542,0.986968538877383,1517.05289163278,"above msp","above msp"
"87","ambejogai","bajri",2014,"October",10,1506,1596,1546,"2014-10","Beed","Maharashtra",1553,0.995492594977463,0.998840875113005,0.996647834285753,1547.79408664577,"above msp","above msp"
"88","beed","bajri",2014,"October",4922,1330,1693,1598,"2014-10","Beed","Maharashtra",1567.16666666667,1.01967457194512,0.998840875113005,1.02085787371263,1599.85443108664,"above msp","above msp"
"89","gevrai","bajri",2014,"October",3558,1197,1495,1336,"2014-10","Beed","Maharashtra",1536.83333333333,0.86932003036547,0.998840875113005,0.870328850195601,1337.55038794227,"above msp","above msp"
"90","kada","bajri",2014,"October",1138,1234,1638,1458,"2014-10","Beed","Maharashtra",1540.5,0.946445959104187,0.998840875113005,0.947544281262127,1459.69196528431,"above msp","above msp"
"91","kej","bajri",2014,"October",5,1448,1474,1448,"2014-10","Beed","Maharashtra",1519.16666666667,0.953154141524959,0.998840875113005,0.954260248327465,1449.68036058414,"above msp","above msp"
"92","kille dharur","bajri",2014,"October",614,1339,1830,1609,"2014-10","Beed","Maharashtra",1522,1.05716162943495,0.998840875113005,1.05838843380869,1610.86719625682,"above msp","above msp"
"93","majalgaon","bajri",2014,"October",1801,1060,1669,1481,"2014-10","Beed","Maharashtra",1515.66666666667,0.977127776555971,0.998840875113005,0.978261704043121,1482.71865609469,"above msp","above msp"
"94","parli-vaijnath","bajri",2014,"October",110,1641,1698,1661,"2014-10","Beed","Maharashtra",1539.91666666667,1.07862979598463,0.998840875113005,1.07988151352196,1662.92754069769,"above msp","above msp"
"95","ambejogai","bajri",2014,"September",2,1300,1300,1300,"2014-09","Beed","Maharashtra",1518.75,0.8559670781893,0.975138040030273,0.877790674808181,1333.14458736492,"above msp","above msp"
"96","beed","bajri",2014,"September",1328,1285,1517,1408,"2014-09","Beed","Maharashtra",1490.58333333333,0.944596634427238,0.975138040030273,0.968679915715228,1443.89813769986,"above msp","above msp"
"97","gevrai","bajri",2014,"September",1778,1228,1447,1303,"2014-09","Beed","Maharashtra",1475.83333333333,0.882891022021457,0.975138040030273,0.905401067108455,1336.22107487423,"above msp","above msp"
"98","kada","bajri",2014,"September",821,1278,1512,1336,"2014-09","Beed","Maharashtra",1457,0.916952642415923,0.975138040030273,0.940331117005195,1370.06243747657,"above msp","above msp"
"99","kada (ashti)","bajri",2014,"September",6,1250,1365,1255,"2014-09","Beed","Maharashtra",1432.75,0.875937881696039,0.975138040030273,0.898270650654594,1286.99727472537,"above msp","above msp"
"100","kej","bajri",2014,"September",35,1342,1492,1359,"2014-09","Beed","Maharashtra",1412.83333333333,0.961896897487319,0.975138040030273,0.986421263452564,1393.64884171456,"above msp","above msp"
"101","kille dharur","bajri",2014,"September",121,1389,1687,1516,"2014-09","Beed","Maharashtra",1427.83333333333,1.06174857009455,0.975138040030273,1.0888187379723,1554.65168803479,"above msp","above msp"
"102","majalgaon","bajri",2014,"September",402,1107,1559,1315,"2014-09","Beed","Maharashtra",1415.91666666667,0.928726973103408,0.975138040030273,0.952405644102014,1348.52702491144,"above msp","above msp"
"103","parli-vaijnath","bajri",2014,"September",30,1391,1453,1453,"2014-09","Beed","Maharashtra",1416.33333333333,1.02588844433984,0.975138040030273,1.05204432831684,1490.04545033941,"above msp","above msp"
"104","khamgaon","bajri",2014,"December",902,1017,1136,1075,"2014-12","Buldhana","Maharashtra",1371.83333333333,0.783622889077876,1.05271122164743,0.744385424002182,1021.17273749366,"below msp","below msp"
"105","malkapur","bajri",2014,"December",88,1132,1207,1167,"2014-12","Buldhana","Maharashtra",1345.66666666667,0.867228139707704,1.05271122164743,0.823804403215675,1108.56612526056,"below msp","below msp"
"106","nandura","bajri",2014,"December",453,1094,1327,1227,"2014-12","Buldhana","Maharashtra",1309.5,0.936998854524628,1.05271122164743,0.890081567724036,1165.56181293462,"below msp","below msp"
"107","shegaon","bajri",2014,"December",46,1248,1270,1259,"2014-12","Buldhana","Maharashtra",1306.08333333333,0.963950743316532,1.05271122164743,0.915683924987527,1195.95951302746,"above msp","below msp"
"108","khamgaon","bajri",2014,"November",2969,1093,1274,1183,"2014-11","Buldhana","Maharashtra",1287.33333333333,0.918953909891248,1.02962791120542,0.892510682636213,1148.95875211369,"below msp","below msp"
"109","malkapur","bajri",2014,"November",272,1108,1223,1175,"2014-11","Buldhana","Maharashtra",1276.66666666667,0.920365535248042,1.02962791120542,0.893881687968752,1141.18895497344,"below msp","below msp"
"110","nandura","bajri",2014,"November",2270,1162,1346,1274,"2014-11","Buldhana","Maharashtra",1271.5,1.00196618167519,1.02962791120542,0.973134246625221,1237.34019458397,"above msp","below msp"
"111","shegaon","bajri",2014,"November",53,1220,1220,1220,"2014-11","Buldhana","Maharashtra",1268.58333333333,0.961702686724036,1.02962791120542,0.934029348134257,1184.89406388732,"below msp","below msp"
"112","khamgaon","bajri",2014,"October",1653,1266,1394,1330,"2014-10","Buldhana","Maharashtra",1266.16666666667,1.05041463735685,0.998840875113005,1.05163361204858,1331.54342512217,"above msp","above msp"
"113","malkapur","bajri",2014,"October",34,1100,1300,1255,"2014-10","Buldhana","Maharashtra",1244.41666666667,1.00850465412174,0.998840875113005,1.00967499353453,1256.45638987092,"above msp","above msp"
"114","nandura","bajri",2014,"October",1051,1237,1420,1337,"2014-10","Buldhana","Maharashtra",1246.25,1.0728184553661,0.998840875113005,1.07406342901688,1338.55154841229,"above msp","above msp"
"115","khamgaon","bajri",2014,"September",6,1200,1200,1200,"2014-09","Buldhana","Maharashtra",1225.16666666667,0.979458577064345,0.975138040030273,1.0044306927396,1230.59500372147,"below msp","below msp"
"116","malkapur","bajri",2014,"September",1,1500,1500,1500,"2014-09","Buldhana","Maharashtra",1260.58333333333,1.189925299134,0.975138040030273,1.22026343993006,1538.24375465184,"above msp","above msp"
"117","dhule","bajri",2014,"December",3653,1005,1486,1333,"2014-12","Dhule","Maharashtra",1274.41666666667,1.04596874386974,1.05271122164743,0.99359513070723,1266.25419449214,"above msp","above msp"
"118","dondaicha","bajri",2014,"December",278,1270,1325,1300,"2014-12","Dhule","Maharashtra",1280.5,1.01522842639594,1.05271122164743,0.964394038478253,1234.9065662714,"above msp","below msp"
"119","sakri","bajri",2014,"December",24,1207,1284,1245,"2014-12","Dhule","Maharashtra",1279.33333333333,0.973163105784263,1.05271122164743,0.924435007220045,1182.66051923684,"below msp","below msp"
"120","shirpur","bajri",2014,"December",471,874,1351,1256,"2014-12","Dhule","Maharashtra",1285.41666666667,0.977115072933549,1.05271122164743,0.928189091975693,1193.10972864376,"above msp","below msp"
"121","dhule","bajri",2014,"November",6644,1009,1498,1369,"2014-11","Dhule","Maharashtra",1301.58333333333,1.05179588962161,1.02962791120542,1.02153008691289,1329.60653562437,"above msp","above msp"
"122","dondaicha","bajri",2014,"November",1179,1306,1518,1420,"2014-11","Dhule","Maharashtra",1313.75,1.08087535680304,1.02962791120542,1.04977278203116,1379.13899239343,"above msp","above msp"
"123","shirpur","bajri",2014,"November",1714,945,1434,1305,"2014-11","Dhule","Maharashtra",1320.83333333333,0.98801261829653,1.02962791120542,0.959582202020757,1267.44815850242,"above msp","above msp"
"124","dhule","bajri",2014,"October",3964,1004,1512,1379,"2014-10","Dhule","Maharashtra",1324.91666666667,1.04082017736965,0.998840875113005,1.04202801797823,1380.60028815299,"above msp","above msp"
"125","dondaicha","bajri",2014,"October",1067,1281,1453,1382,"2014-10","Dhule","Maharashtra",1335.5,1.03481842006739,0.998840875113005,1.03601929581658,1383.60376956304,"above msp","above msp"
"126","sakri","bajri",2014,"October",13,1132,1173,1155,"2014-10","Dhule","Maharashtra",1320.33333333333,0.874779096187831,0.998840875113005,0.875794251100169,1156.34034286926,"below msp","below msp"
"127","shirpur","bajri",2014,"October",4214,935,1429,1296,"2014-10","Dhule","Maharashtra",1328.33333333333,0.975658720200753,0.998840875113005,0.97679094289205,1297.50396914161,"above msp","above msp"
"128","dhule","bajri",2014,"September",4530,1055,1416,1318,"2014-09","Dhule","Maharashtra",1313.16666666667,1.0036806701358,0.975138040030273,1.02927034833411,1351.60351242075,"above msp","above msp"
"129","dondaicha","bajri",2014,"September",411,1173,1362,1316,"2014-09","Dhule","Maharashtra",1311.75,1.00323994663617,0.975138040030273,1.02881838822022,1349.55252074788,"above msp","above msp"
"130","shirpur","bajri",2014,"September",609,1002,1415,1343,"2014-09","Dhule","Maharashtra",1315.33333333333,1.02103395843893,0.975138040030273,1.04706607323741,1377.24090833161,"above msp","above msp"
"131","bhusaval","bajri",2014,"December",15,1300,1300,1300,"2014-12","Jalgaon","Maharashtra",1319.91666666667,0.984910663551992,1.05271122164743,0.935594342777754,1234.9065662714,"above msp","below msp"
"132","chalisgaon","bajri",2014,"December",6805,1102,1362,1302,"2014-12","Jalgaon","Maharashtra",1323.75,0.98356940509915,1.05271122164743,0.934320243646614,1236.80642252721,"above msp","below msp"
"133","chopda","bajri",2014,"December",158,1156,1236,1232,"2014-12","Jalgaon","Maharashtra",1312.33333333333,0.938785877571755,1.05271122164743,0.891779111181709,1170.31145357413,"below msp","below msp"
"134","jalgaon","bajri",2014,"December",81,1398,1398,1398,"2014-12","Jalgaon","Maharashtra",1310.5,1.0667684090042,1.05271122164743,1.01335331766937,1327.99952280571,"above msp","above msp"
"135","raver","bajri",2014,"December",18,1262,1477,1477,"2014-12","Jalgaon","Maharashtra",1324.83333333333,1.11485721474399,1.05271122164743,1.05903422687877,1403.04384490989,"above msp","above msp"
"136","amalner","bajri",2014,"November",93,1200,1390,1295,"2014-11","Jalgaon","Maharashtra",1317.83333333333,0.982673580371823,1.02962791120542,0.954396796820876,1257.73591207711,"above msp","above msp"
"137","bhusaval","bajri",2014,"November",27,1317,1317,1317,"2014-11","Jalgaon","Maharashtra",1312.41666666667,1.00349228522446,1.02962791120542,0.974616435999327,1279.10285421278,"above msp","above msp"
"138","chopda","bajri",2014,"November",1083,1192,1297,1285,"2014-11","Jalgaon","Maharashtra",1323.25,0.971093897600605,1.02962791120542,0.943150323560782,1248.02366565181,"above msp","below msp"
"139","jalgaon","bajri",2014,"November",427,1354,1449,1422,"2014-11","Jalgaon","Maharashtra",1333.75,1.06616682286785,1.02962791120542,1.0354874914178,1381.0814416785,"above msp","above msp"
"140","raver","bajri",2014,"November",3,1238,1238,1238,"2014-11","Jalgaon","Maharashtra",1327.08333333333,0.93287284144427,1.02962791120542,0.906029091958205,1202.37610745287,"below msp","below msp"
